INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
Alloggio per uso turistico 5742;Unica;VIA FAMAGOSTA, 63;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5749;Unica;VIA CRESCENZIO, 83;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5757;Unica;VIA ANGELO EMO, 162;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5771;Unica;VIA FRANCESCO CARACCIOLO, 25;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5776;Unica;VIA ANDREA DORIA, 64;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5786;Unica;VIA ANGELO EMO, 15/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5789;Unica;VIA PIETRO COSSA, 28;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5798;Unica;VIALE DELLE MILIZIE, 58;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5801;Unica;VIA ANGELO EMO, 35;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5809;Unica;VIA ANTONIO CANAL, 11;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5813;Unica;BORGO PIO, 203;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5819;Unica;BORGO VITTORIO, 20;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5821;Unica;VIA DELLA GIULIANA, 6;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5823;Unica;VIA FRANCESCO CARACCIOLO, 4;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5838;Unica;VIA FRANCESCO SIVORI, 8;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5849;Unica;VIA FRANCESCO CARACCIOLO, 4;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5874;Unica;VIA FRANCESCO CARACCIOLO, 10;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5880;Unica;VIA DEL FALCO, 18;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5885;Unica;BORGO VITTORIO, 27/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 589;Unica;VIALE ANGELICO, 70;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5909;Unica;VIA COSTANTINO MORIN, 9;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5914;Unica;VIA DELLA GIULIANA, 6;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5921;Unica;LUNGOTEVERE DEI MELLINI, 35;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5924;Unica;VIA CARLO GRABAU, 16;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5943;Unica;VIA GIUSEPPE FERRARI, 11;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5948;Unica;VIA GERMANICO, 197;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5960;Unica;VIA CANDIA, 143;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5971;Unica;VIA GERMANICO, 168;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5974;Unica;VIA ILDEBRANDO GOIRAN, 10;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5991;Unica;VIA SANTAMAURA, 49;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6;Unica;VIA DEI GRACCHI, 187;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6001;Unica;VIA COLA DI RIENZO, 173;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6010;Unica;VIA GIUSEPPE GIOACHINO BELLI, 60;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6014;Unica;VIA CIPRO, 4/H;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6021;Unica;VIA ANGELO EMO, 144;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6058;Unica;VIA RICCARDO GRAZIOLI LANTE, 16;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 606;Unica;VIA FABIO MASSIMO, 57;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6067;Unica;VIA OTTAVIANO, 66;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 607;Unica;VIALE DELLE MILIZIE, 15;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6094;Unica;PIAZZA DEI PRATI DEGLI STROZZI, 30;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6099;Unica;VICOLO DEL FARINONE, 31;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6120;Unica;PIAZZA BAINSIZZA, 10;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6126;Unica;VIALE GIULIO CESARE, 118;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6131;Unica;VIA MARCANTONIO COLONNA, 44;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6140;Unica;VIA ANGELO EMO, 15;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6151;Unica;VIA GERMANICO, 99;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6158;Unica;VIA SEBASTIANO VENIERO, 8;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6163;Unica;VIA ANDREA BAFILE, 5;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 617;Unica;VIA RICCARDO GRAZIOLI LANTE, 78;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6170;Unica;VIA DEI GRACCHI, 15;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6172;Unica;VIA DEGLI SCIPIONI, 17;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6194;Unica;VIA FRANCESCO CARACCIOLO, 25;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6196;Unica;VIA FAMAGOSTA, 63;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6208;Unica;VIA GERMANICO, 168;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6219;Unica;VIA VALADIER, 36;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6227;Unica;VIA OTTORINO LAZZARINI, 11;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6240;Unica;VIA OTTAVIANO, 105;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6246;Unica;BORGO VITTORIO, 5;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6247;Unica;VIA ANGELO EMO, 95;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6250;Unica;VIA CANDIA, 77;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 627;Unica;VIA PASQUALE GALLUPPI, 2;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 629;Unica;VIA CARLO MIRABELLO, 26;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6294;Unica;PIAZZA DELLA ROVERE, 109;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6312;Unica;VIA GIORDANO BRUNO, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6328;Unica;VIA DEGLI OMBRELLARI, 53;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6331;Unica;VIA COSTANTINO MORIN, 1;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6336;Unica;VIA STEFANO PORCARI, 11/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6337;Unica;VIALE GIULIO CESARE, 105;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6357;Unica;VIALE GIULIO CESARE, 61;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6361;Unica;VIA ALBERICO II, 17;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6367;Unica;VIA ANDREA DORIA, 16/C;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 637;Unica;CIRCONVALLAZIONE TRIONFALE, 36;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6383;Unica;VIA COLA DI RIENZO, 152;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6387;Unica;VIA ANDREA DORIA, 67;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6389;Unica;VIA ANDREA DORIA, 16;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6400;Unica;VIA OSTIA, 34;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6419;Unica;VIA PIETRO BORSIERI, 12;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6436;Unica;VIA DUILIO, 12;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6445;Unica;LUNGOTEVERE PRATI, 21;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6471;Unica;VIA RIALTO, 35;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6489;Unica;BORGO VITTORIO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6490;Unica;VIA DEGLI SCIPIONI, 181;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6496;Unica;VIA CRESCENZIO, 17/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6499;Unica;VIA ENRICO ACCINNI, 63;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6505;Unica;VIA TIBULLO, 13;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6523;Unica;VIA NAZARIO SAURO, 4;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6527;Unica;VIA ENNIO QUIRINO VISCONTI, 58;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6528;Unica;VIA LEONE IV, 109;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6532;Unica;VIA FABIO MASSIMO, 60;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6543;Unica;VIA CARLO POMA, 2;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6550;Unica;VIA TACITO, 23;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6554;Unica;VIA GIOVANNI PIERLUIGI DA PALESTRINA, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6559;Unica;VIA CARLO POMA, 2;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6560;Unica;VIA COLA DI RIENZO, 203;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6567;Unica;VIA PREMUDA, 2;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6575;Unica;VIA OSLAVIA, 50;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6576;Unica;VIA DELLA GIULIANA, 35;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6578;Unica;VIA LEONE IV, 38;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6580;Unica;VIA FRANCESCO CARACCIOLO, 10;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6581;Unica;VIA PASQUALE GALLUPPI, 2;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6604;Unica;VIA COLA DI RIENZO, 111;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6607;Unica;VIA ATTILIO REGOLO, 19;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6613;Unica;VIALE DEGLI AMMIRAGLI, 121;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6634;Unica;VIA MARCANTONIO BRAGADIN, 7;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6635;Unica;VIA ACHILLE PAPA, 21;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6667;Unica;BORGO VITTORIO, 27/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6673;Unica;VIA BARLETTA, 17;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6685;Unica;VIA VESPASIANO, 17;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6701;Unica;VIA SEBASTIANO VENIERO, 8;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6723;Unica;VIA BOEZIO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6737;Unica;VIA SANTAMAURA, 49;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6738;Unica;VIA SANTAMAURA, 49;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6769;Unica;VIA GIORDANO BRUNO, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6772;Unica;VIA RODI, 19;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6775;Unica;VIA GIORDANO BRUNO, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6778;Unica;VIALE GIULIO CESARE, 95;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6785;Unica;VIA TRIONFALE, 13;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6801;Unica;VIA CATONE, 21;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6813;Unica;VIA DELLA MELORIA, 82;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6815;Unica;VIA ENNIO QUIRINO VISCONTI, 61;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6820;Unica;VIA OSTIA, 16;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6822;Unica;VIA S. TOMMASO D'AQUINO, 7;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6829;Unica;VIA MONTE PERTICA, 11;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 683;Unica;VIA ANDREA DORIA, 79;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6831;Unica;VIALE GIULIO CESARE, 62;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6834;Unica;VIA GIORGIO SCALIA, 12;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6863;Unica;VIA DEI GRACCHI, 39;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6868;Unica;VIA GERMANICO, 96;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6871;Unica;BORGO PIO, 203;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6872;Unica;VIA FRANCESCO DE SANCTIS, 15;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6888;Unica;VIA OTRANTO, 23;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6894;Unica;VIA PIETRO GIANNONE, 28;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 69;Unica;VIALE GIULIO CESARE, 118;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6901;Unica;VIALE GIULIO CESARE, 118;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6909;Unica;VIA CARLO MIRABELLO, 24;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6914;Unica;VIA TRIONFALE, 81;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6918;Unica;VIA SANTAMAURA, 15;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 692;Unica;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6930;Unica;VIA TRIONFALE, 85;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6939;Unica;VIA PIETRO DELLA VALLE, 13;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 694;Unica;VIA GIOVANNI NICOTERA, 8;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6944;Unica;VIA GIORDANO BRUNO, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6985;Unica;BORGO VITTORIO, 27/A;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6994;Unica;VIA ANGELO EMO, 85;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6996;Unica;VIA POMPEO MAGNO, 94;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7009;Unica;VIA OSTIA, 16;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7020;Unica;VIA OTTAVIANO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7037;Unica;VIA GERMANICO, 66;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7043;Unica;BORGO S. LAZZARO, 17;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7045;Unica;VIA CICERONE, 62;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 706;Unica;VIA OTRANTO, 36;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7068;Unica;VIA BOEZIO, 94;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7072;Unica;VIA CRESCENZIO, 19;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7088;Unica;CIRCONVALLAZIONE TRIONFALE, 36;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7099;Unica;VIALE VATICANO, 48;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7110;Unica;VIA TOLEMAIDE, 12;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7114;Unica;VIA RUGGERO FIORE, 27;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 715;Unica;VICOLO DEL FARINONE, 31;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7150;Unica;VIA FAMAGOSTA, 10;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7153;Unica;BORGO VITTORIO, 20;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7155;Unica;VIA ENNIO QUIRINO VISCONTI, 58;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7175;Unica;VIA SILLA, 91;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7199;Unica;VIA OTTAVIANO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7208;Unica;CIRCONVALLAZIONE TRIONFALE, 27;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 724;Unica;VIA FEDERICO CESI, 21;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7245;Unica;BORGO VITTORIO, 91;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7249;Unica;BORGO VITTORIO, 76;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7252;Unica;VIA CAIO MARIO, 7;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7266;Unica;VIA CANDIA, 20;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7271;Unica;VIA CIRO MENOTTI, 3;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7272;Unica;VIA DEL FALCO, 29;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7295;Unica;VIA EMILIO FAA' DI BRUNO, 30;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7296;Unica;VIA LUIGI RIZZO, 47;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7299;Unica;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
