INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
A BEAUTIFUL PLACE IN ROME;Categoria 3;VIA VICENZA, 20;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
A CASA CARRA;Categoria 3;VIA DELLO STATUTO, 44;Municipio I (ex Mun I);Guest House o Affittacamere;2;1;0;0;0;0;0;0
A CASA DEL MAGO DI OZ;Categoria 3;VIA VOLTURNO, 31;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0
A CASA DEL PALMER;Categoria 2;PIAZZA VITTORIO EMANUELE II, 70;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
A CASA DI ARIANNA;Categoria 2;PIAZZA DI S. CROCE IN GERUSALEMME, 4;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0
A CASA DI ELLE;Categoria 4;VIA EMANUELE FILIBERTO, 166;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0
A CASA DI JASMINE;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A CASA DI MARCO;Categoria 2;PIAZZA MANFREDO FANTI, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);2;2;0;0;0;0;0;0
A CASA DI MEI;Categoria 3;PIAZZA VITTORIO EMANUELE II, 55;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0
A CASA DI PENELOPE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA VARESE, 5;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;1;0;0;0;0
A CASA DI SONIA;Categoria 2;VIA DEL VIMINALE, 58;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0
A CASA DI STEFANO;Categoria 3;VIA FIRENZE, 43;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;0;0;0;0;0;0
A CASA DI STEFANO E LAVINIA;Categoria 2;VIA MARIO DE FIORI, 116;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0
A CASA DI ZIA LOLA;Categoria 2;VIA DELLA PURIFICAZIONE, 22;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
A CASA NOSTRA HOLIDAYS;Unica;VIA EMANUELE FILIBERTO, 217;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A CASA TOTTI;Unica;VIA GAETA, 79;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
A FEW STEPS FROM COLOSSEUM;Unica;VIA MERULANA, 187;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A MONTI DA LUDO;Categoria 3;VIA DI S. AGATA DEI GOTI, 21;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;1;0;0;0;0
A PIU';Unica;VIA DI S. CROCE IN GERUSALEMME, 43;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
A ROMAN TALE Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 85/A;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;3;0;0;0;0;0;0
A SECRET CORNER;Categoria 1;VICOLO DEI FALEGNAMI, 40;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;2;4
A STAR INN;Categoria 3;VIA DELLE QUATTRO FONTANE, 15;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;1;0;0;0;0;0
A STONE THROW FROM THE COLOSSEUM;Categoria 1;VIA DEL BOSCHETTO, 101;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
A TESTACCIO DA MAX;Unica;VIA ORAZIO ANTINORI, 7;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A TRASTEVERE;Unica;VIALE DI TRASTEVERE, 152;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;1;1;0;0;0;0;0;0
A TRASTEVERE DA ME;Categoria 3;PIAZZA SIDNEY SONNINO, 25;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0
A TRIBUTE TO MUSIC ROMA;Categoria 3;VIA NAPOLI, 51;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;7;0
A VIA DEI GIUBBONARI;Unica;VIA DEI GIUBBONARI, 23;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A VIA DEL PANTHEON 57;Unica;VIA DEL PANTHEON, 57;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A WORLD APARTS   68 BARBERINI Guest House o Affittacamere;Categoria 2;VIA BARBERINI, 68;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;1;0;0;0;0;0
A casa di Antonia Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 148;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;1;0;0;0;0;0;0
A&A B&B;Unica;VIA VOLTURNO, 40;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
A&C MUCH MORE guest house o affittacamere;Categoria 3;VIA PALESTRO, 49;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0
