CIU;INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;SITOWEB;EMAIL;TELEFONO;FAX;CELLULARE;CONTATTOFACEBOOK;CONTATTOTWITTER;CONTATTOINSTAGRAM;CONTATTOALTROSOCIAL
ALB-000062-8;ADRIATIC;2 Stelle;VIA GIOVANNI VITELLESCHI, 25;Municipio I (ex Mun XVII);Albergo;19,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000071-8;ALPI;4 Stelle;VIA CASTELFIDARDO, 84;Municipio I (ex Mun I);Albergo;4,00;37,00;7,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000073-1;AMALFI;3 Stelle;VIA MERULANA, 278;Municipio I (ex Mun I);Albergo;6,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000078-6;ANDREOTTI;3 Stelle;VIA CASTELFIDARDO, 55;Municipio I (ex Mun I);Albergo;10,00;38,00;5,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000079-7;ANGEL;2 Stelle;VIA MARIANNA DIONIGI, 43;Municipio I (ex Mun XVII);Albergo;1,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000080-8;ANGLO AMERICANO;4 Stelle;VIA DELLE QUATTRO FONTANE, 12;Municipio I (ex Mun I);Albergo;9,00;62,00;36,00;6,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000086-5;ARCANGELO;3 Stelle;VIA BOEZIO, 15;Municipio I (ex Mun XVII);Albergo;14,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000089-8;ARGENTINA;3 Stelle;VIA CAVOUR, 47;Municipio I (ex Mun I);Albergo;6,00;8,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000090-9;ARIS GARDEN HOTEL;4 Stelle;VIA ARISTOFANE, 101;Municipio X (ex Mun XIII);Albergo;0,00;103,00;0,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000092-2;ART DECO';4 Stelle;VIA PALESTRO, 19;Municipio I (ex Mun I);Albergo;14,00;33,00;17,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
