INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
ASA VALDESE;2 Stelle;VIA ALESSANDRO FARNESE, 18;Municipio I (ex Mun XVII);Albergo;3;17;9;4;0;0;0;0;41.91061;12.468
SA VISCONTI;Categoria 3;VIA ENNIO QUIRINO VISCONTI, 103;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.90702;12.46771
CASA VOGUE;Categoria 4;VIA CAIO MARIO, 8;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90828;12.46097
CASA VOLVER;Categoria 3;VIA AUGUSTO AUBRY, 3;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.91506;12.45444
CASA WINKLER;Categoria 3;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.9056;12.46406
CASA ZAVATTI;Categoria 2;VIA DEI GRACCHI, 60;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;1;0;0;0;0;0;41.90761;12.46053
CASA e APPARTAMENTO per VACANZE Vatican Flowers 2;Categoria 1;VIA GUALTIERO SERAFINO, 8;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.91065;12.445
ASABLANCA;Categoria 2;VIA SANTAMAURA, 49;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90875;12.45357
CASADOM;Categoria 1;VIA DEGLI SCIPIONI, 71;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90854;12.45768
CASE E APPARTAMENTI PER VACANZE  DOLCE CIU' CIU';Categoria 1;VIA LUIGI RIZZO, 62;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;2;41.90781;12.44454
CASE E APPARTAMENTI PER VACANZE CANDIA143APARTMENT;Categoria 2;VIA CANDIA, 143;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;41.90742;12.45034
CASE E APPARTAMENTI PER VACANZE VATICAN NICK'S HOME;Categoria 2;VIA MOCENIGO, 32;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90921;12.45111
CASINA SISTINA;Categoria 2;PIAZZALE DEGLI EROI, 8;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;42.09063;11.79304
CASSIODORO SUITE;Categoria 3;VIA CASSIODORO, 1;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.90618;12.46754
CASTEL SANT'ANGELO INNCASTEL SANT'ANGELO INN;Categoria 3;VIA PIETRO CAVALLINI, 12;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0;41.9055;12.47276
CASTELLANI A SAN PIETRO Guest House o Affittacamere;Categoria 2;VIA VESPASIANO, 17/A;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;1;0;0;0;0;0;41.90699;12.45681
CATONE VATICAN SUITES;Categoria 3;VIA CATONE, 16;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;1;0;0;0;41.9069;12.45893
CAV INN RHOME;Categoria 2;VIA CARLO MIRABELLO, 34;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.91729;12.45645
CAVERNI;Non Classificata;VIA RAFFAELE CAVERNI, 6;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;41.91329;12.45144
CAVOUR BOUTIQUE APARTMENT C.A.V.;Categoria 2;VIA LUCREZIO CARO, 12;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;3;41.90644;12.47027
CAVOUR SUITES GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA ORAZIO, 3;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;2;0;0;0;0;0;41.90792;12.466
ENTRO SANTA GIOVANNA ANTIDA;Unica;CIRCONVALLAZIONE CLODIA, 1;Municipio I (ex Mun XVII);Casa per ferie;9;8;0;0;0;0;0;0;41.91413;12.451
ERIONI DANIELE;Categoria 3;VIA FRANCESCO CARACCIOLO, 14;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90857;12.45157
CESAR VATICAN ROOMS;Categoria 3;VIALE GIULIO CESARE, 128;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;1;0;0;0;0;0;41.90899;12.45565
CESARE AI CAVALIERI SUITS GUEST HOUSE O AFFITTACAMERE.;Categoria 2;VIALE GIULIO CESARE, 71;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;3;0;0;0;0;0;41.91024;12.46223
CF ROME C.A.V.;Categoria 1;LUNGOTEVERE MICHELANGELO, 9;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;3;0;0;0;0;0;0;41.9133;12.46978
CF ROMEROOMS Guest House o Affittacamere;Categoria 1;LUNGOTEVERE MICHELANGELO, 9;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;2;0;0;0;0;0;41.9133;12.46978
CHAT & CHILL VATICAN APARTMENT;Categoria 3;VIA OTTAVIANO, 9;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0;41.90677;12.45772
CHESTER SUITES;Categoria 3;VIA COLA DI RIENZO, 265;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.90685;12.46037
CHRISTIN'S HOME IN SAN PIETRO;Categoria 1;VIALE DEGLI AMMIRAGLI, 119;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90635;12.44328
CHROMA EPTHA;Categoria 2;VIALE ANGELICO, 12;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;1;0;0;0;0;0;41.91199;12.45847
CHYVELINA SVITLANA;Categoria 2;VIALE DELLE MILIZIE, 76;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;5;0;0;0;0;0;0;41.91187;12.46008
CICERONE 60;Unica;VIA CICERONE, 60;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90744;12.46837
CIELO VATICANO GUEST HOUSE;Categoria 3;VIA GIOVANNI BETTOLO, 54;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.91193;12.45745
CIPRO FLAT 10 CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA S. TOMMASO D'AQUINO, 15;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.91144;12.44822
CITY VATIC HOUSE;Categoria 2;VIA ANGELO EMO, 11/B;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90672;12.44963
CITY VATIC HOUSE;Categoria 2;VIA ANGELO EMO, 11/B;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;2;0;41.90672;12.44963
CIVICO 225;Unica;VIALE ANGELICO, 225;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0;41.92111;12.45853
CLAUDIA GIULIO CESARE;Categoria 3;VIALE GIULIO CESARE, 113;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.90955;12.45943
CLEMENTI 18 - SUITES IN ROME GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA MUZIO CLEMENTI, 18;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;4;1;0;0;0;0;0;41.90568;12.47204
CLEMENTI 18 GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA MUZIO CLEMENTI, 18;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;1;1;0;0;0;0;0;41.90568;12.47204
CLEMENTI PORTRAIT GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA MUZIO CLEMENTI, 68;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;4;1;0;0;0;0;0;41.90701;12.472
LODIO HOUSE ROME CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIALE GIUSEPPE MAZZINI, 157;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);2;1;0;0;0;0;0;0;41.91612;12.45535
CLODIO ROOMS Bed & Breakfast;Unica;CIRCONVALLAZIONE CLODIA, 177;Municipio I (ex Mun XVII);Bed & Breakfast imprenditoriale;0;2;0;0;0;0;0;0;41.92223;12.45787
CLODIO TERRACE GARDEN 13 CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA AUGUSTO RIBOTY, 10;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.91537;12.45507
CLOSE TO VATICAN;Unica;VIA COLA DI RIENZO, 52;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90885;12.46924
COLA DI RIENZO CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA EZIO, 12;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;1;0;0;0;0;41.90863;12.46641
COLA DI RIENZO LUXURY PENTHOUSE;Categoria 1;VIA COLA DI RIENZO, 217;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;1;1;0;0;0;0;41.90749;12.463
LA DI RIENZO SUITE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA COLA DI RIENZO, 111;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;3;1;0;0;0;0;0;41.90828;12.46613
COLA DI RIENZO SUITES;Categoria 1;VIA COLA DI RIENZO, 217;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.90749;12.463
LADIR GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA PAOLO EMILIO, 7;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0;41.90789;12.46376
COLAZIONE AL VATICANO CRESCENZIO;Categoria 3;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;0;0;0;0;0;0;41.9056;12.46406
COLLE VATICANO B&B;Unica;VIA ANGELO EMO, 147;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;2;0;0;0;0;0;0;41.90329;12.44424
COLONNA 18;Categoria 2;VIA VITTORIA COLONNA, 18;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.90506;12.47233
COLONNA LUXURY APARTMENT;Categoria 2;VIA MARCANTONIO COLONNA, 60;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0;41.91093;12.466
OLONNA LUXURY SUITES;Categoria 3;VIA MARCANTONIO COLONNA, 28;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.90943;12.46719
COLORS;1 Stella;VIA BOEZIO, 31;Municipio I (ex Mun XVII);Albergo;4;4;0;0;0;0;0;0;41.90651;12.46339
COLUMBUS;4 Stelle;VIA DELLA CONCILIAZIONE, 33;Municipio I (ex Mun XVII);Albergo;23;44;25;0;0;0;0;0;41.90212;12.461
ME A CASA - HOLIDAY HOME Casa e Appartamento per Vacanze;Categoria 2;VIALE DELLE MEDAGLIE D'ORO, 40;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.91046;12.44691
COMICS GUESTHOUSE;Categoria 3;VIALE GIULIO CESARE, 38;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;1;1;2;0;0;0;0;41.91208;12.468
ONFORT HOME;Categoria 3;CIRCONVALLAZIONE CLODIA, 165;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0;41.92082;12.45752
CONVERSANO AL VATICANO B&B;Unica;VIA ANDREA DORIA, 3;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0;41.91015;12.45458
CONVITTO CAPITANIO;Unica;VIA DELLA CAMILLUCCIA, 740;Municipio I (ex Mun XVII);Casa per ferie;24;3;0;0;0;0;0;0;41.94917;12.45863
CORAL GUEST HOUSE;Categoria 3;VIA TIBULLO, 13;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;1;0;0;0;0;0;41.90618;12.46226
COSTANTINO PRIMO HOLIDAYS;Categoria 3;VIA COSTANTINO MORIN, 27;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.91249;12.45551
COURTYARD ROME SUITE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA ORAZIO, 31;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;0;0;0;0;0;0;41.90583;12.46716
COZY DOMAR;Categoria 1;VIA ANGELO EMO, 87;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90454;12.44685
COZY LEONE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA LEONE IV, 38;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90911;12.45503
COZY VATICANHOUSE;Categoria 1;VIA CANDIA, 50;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90833;12.45331
CRESCENZI CASA VACANZA;Categoria 2;VIA TUNISI, 7;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90764;12.45276
CRESCENZIO APARTMENT;Categoria 4;VIA CRESCENZIO, 62;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90589;12.46243
CRISTINA'S HOME IN ROME;Categoria 1;VIA CANDIA, 50;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90833;12.45331
CUNFIDA C.A.V.;Categoria 2;VIA CUNFIDA, 5/A;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;1;1;0;0;0;0;0;41.91315;12.45224
CUSCINO E CAPPUCCINO;Unica;VIA VESPASIANO, 3;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90674;12.45679
Candia Inn;Categoria 2;VIA CANDIA, 77;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.90806;12.45297
Casa e Appartamento per Vacanza CANDIA HOLIDAY HOUSE N.I.;Categoria 1;VIA CANDIA, 65;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90808;12.45327
Casa e Appartamento per Vacanza ROMADAYS APARTMENT;Categoria 1;VIA CIPRO, 47;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.90654;12.446
asa e Appartamento per Vacanze CASA 38;Categoria 2;VIALE DELLE MEDAGLIE D'ORO, 38;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;0;0;41.91038;12.44709
Casa e Appartamento per Vacanze LA DOLCE HOUSE;Categoria 2;PIAZZALE CLODIO, 13;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.91615;12.45482
Casa e Appartamento per Vacanze RESIDENZA BORGO PIO;Categoria 1;VICOLO DELLE PALLINE, 10;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90349;12.46028
Casa e Appartamento per Vacanze VATICAN SIGHTSEEING;Categoria 2;PIAZZA DEI PRATI DEGLI STROZZI, 26;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.91522;12.4555
Casa e appartamento per vacanze ""CASTLE OF THE VATICAN""";Categoria 2;PIAZZA DELLA ROVERE, 115;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;3;0;0;0;0;0;0;41.89933;12.46221
"Casa e appartamento per vacanze ""VATICAN APARTMENT MELORIA""";Categoria 2;VIA DELLA MELORIA, 7;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90598;12.44795
Casa e appartamento per vacanze A Casa di Ale e Lalla;Categoria 2;VIALE GIULIO CESARE, 137;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90933;12.45855
Casa e appartamento per vacanze AUGUSTUS SUITE;Categoria 1;VIA OTRANTO, 36;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.91025;12.45682
Casa e appartamento per vacanze Alessandro Home;Categoria 2;VIALE DEGLI AMMIRAGLI, 67;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90522;12.44406
Casa e appartamento per vacanze BORGO VITTORIO;Categoria 1;BORGO VITTORIO, 91;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.90431;12.46
asa e appartamento per vacanze Belli36ground;Categoria 1;VIA GIUSEPPE GIOACHINO BELLI, 36;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90744;12.47171
Casa e appartamento per vacanze CASA MIZZI;Categoria 1;VIA RODI, 19;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.91263;12.45304
Casa e appartamento per vacanze Cristiana Home;Categoria 2;VIALE DEGLI AMMIRAGLI, 67;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90522;12.44406
Casa e appartamento per vacanze HOUSE OF P;Categoria 2;BORGO PIO, 125;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);2;0;0;0;0;0;0;0;41.90393;12.45897
Casa e appartamento per vacanze Lovely Vatican Studio;Categoria 2;VIA FAMAGOSTA, 63;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1;41.90965;12.455
asa e appartamento per vacanze Romexperience Borgo Pio;Categoria 2;BORGO PIO, 76;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.9038;12.45954
Casa e appartamento per vacanze Six Stars;Categoria 1;VIA GERMANICO, 101;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90825;12.45998
Casa e appartamento per vacanze Top floor st. Peter;Categoria 2;VIA CRESCENZIO, 97;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);2;0;2;0;0;0;0;0;41.90585;12.46047
Casa e appartamento per vacanze Toti's House;Categoria 1;VIALE DELLE MILIZIE, 1;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.91347;12.46807
Casa e appartamento per vacanze Vatican Flowers 3;Categoria 1;VIA GUALTIERO SERAFINO, 8;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.91065;12.445
asa e appartamento per vacanze Volver;Categoria 1;VIA AUGUSTO AUBRY, 3;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0;41.91506;12.45444
Casa e appartamento per vacanze vatican flowers 5;Categoria 1;VIA GUALTIERO SERAFINO, 8;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.91065;12.4453
Casa e appartamento per vacanze' "" Rome Industrial House""";Categoria 2;VIA SANTAMAURA, 49;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90875;12.45357
Casa e appartamento per vacanze' *St. Peter flat;Categoria 2;VIA FRANCESCO CARACCIOLO, 6;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90821;12.45014
Cinquecento Suite Prati-Delle Vittorie Guest House o Affittacamere;Categoria 2;VIA FULCIERI PAULUCCI DE CALBOLI, 60;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.91567;12.46118
Cosy loft close to Saint Peter Square;Categoria 2;VIA GIUNIO BAZZONI, 7;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.91403;12.459
zy Borgo;Categoria 2;VIA DEGLI OMBRELLARI, 19;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0;41.90445;12.46108
D.P.VATICAN LUXURY;Categoria 2;PIAZZA COLA DI RIENZO, 92;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90827;12.46735
DA AUGUSTO;Unica;VIA OTTAVIANO, 32;Municipio I (ex Mun XVII);Bed & Breakfast imprenditoriale;0;1;1;0;0;0;0;0;41.90735;12.45798
DA BEBO;Categoria 3;VIA GIORGIO SCALIA, 4;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0;41.90815;12.44659
DA LORENZO;Unica;VIA GIUSEPPE FERRARI, 4;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;2;0;0;0;0;0;0;41.9139;12.46484
DA THEA BED & bREAKFAST;Unica;LARGO TRIONFALE, 11;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;2;1;0;0;0;0;0;0;41.91075;12.45499
DANTE'S IN VATICANO;Unica;VIALE GIULIO CESARE, 237;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90863;12.455
E LUXE ROOMS;Categoria 3;VIA CATONE, 21;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;4;0;0;0;0;0;0;41.90742;12.45902
DEBORA'S HOME;Categoria 2;VIA GIUSEPPE FERRARI, 11;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0;41.91385;12.46452
DEI CONSOLI;4 Stelle;VIA VARRONE, 2;Municipio I (ex Mun XVII);Albergo;2;21;5;0;0;0;0;0;41.90656;12.46016
DEI MELLINI;4 Stelle;VIA MUZIO CLEMENTI, 81;Municipio I (ex Mun XVII);Albergo;4;58;14;4;0;0;0;0;41.90738;12.472
EI QUIRITI;1 Stella;VIA GERMANICO, 198;Municipio I (ex Mun XVII);Albergo;4;6;0;0;0;0;0;0;41.90913;12.46304
DEL FALCO GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA DEL FALCO, 33;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.90481;12.45951
DELUXE PAPI;Categoria 3;VIA DEI GRACCHI, 161;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0;41.90836;12.46426
DIMORA LUMINOSA;Categoria 2;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.9056;12.46406
DIPENDENZA HOTEL DEI CONSOLI;3 Stelle;VIA GERMANICO, 66;Municipio I (ex Mun XVII);Dipendenza alberghiera;3;6;3;0;0;0;0;0;41.90779;12.45765
DIPLOMATIC;3 Stelle;VIA VITTORIA COLONNA, 28;Municipio I (ex Mun XVII);Albergo;4;29;2;0;0;0;0;0;41.90507;12.47208
DIVINA MISERICORDIA;Categoria 4;VIA ANDREA DORIA, 67;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;0;0;41.90897;12.449
IVINE TERACE APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VICOLO DEL FARINONE, 24;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90362;12.45945
DM LUXURY HOUSE CASA E APPARTAMENTO PER VACANZE;Categoria 2;PIAZZA COLA DI RIENZO, 92;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90827;12.46735
DOLCE RISVEGLIO;Unica;VIA RUGGERO FIORE, 8;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.844;12.48074
DOLCE SOLE DI ALESSANDRO PRINCIPI;Categoria 2;VIA LUIGI RIZZO, 95;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0;41.90768;12.44467
DOLCEFARNIENTE;Unica;BORGO VITTORIO, 41;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90433;12.45909
DOME&HOME;Categoria 3;VIA DELLA GIULIANA, 18;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;0;0;41.91121;12.45489
DOMI ALOISII;Categoria 3;VIALE GIUSEPPE MAZZINI, 96;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.9155;12.46108
DOMIZIA HOLIDAYS;Categoria 2;VIA TRIONFALE, 65;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;0;0;41.91358;12.45131
DOMO' VATICANO GUEST HOUSE;Categoria 3;VIALE DELLE MILIZIE, 76;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;1;0;0;0;0;41.91187;12.46008
DOMUS AL VATICANO 36;Categoria 1;PIAZZA DEL RISORGIMENTO, 36;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;1;1;0;0;0;0;0;41.90656;12.45836
DOMUS BEST GUEST HOUSE o Affittacamere;Categoria 3;VIA FABIO MASSIMO, 88;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;0;4;0;0;0;0;0;41.9099;12.46191
DOMUS BETTI;Unica;VIA GERMANICO, 85;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90781;12.45846
DOMUS BORGO PIO MICHELANGELO;Categoria 3;BORGO PIO, 91;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90384;12.45889
DOMUS CASEARI;Categoria 3;VIALE GIULIO CESARE, 129;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90937;12.45872
DOMUS CIPRO VATICANO;Categoria 2;VIA RUGGERO FIORE, 27;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90558;12.44624
DOMUS CLODIO;Categoria 2;VIA PREMUDA, 4;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;41.91354;12.45201
DOMUS COLONNA;Unica;VIA COLA DI RIENZO, 290;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;1;0;0;0;0;0;41.9065;12.45958
DOMUS CRESCENZIO GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;1;0;0;0;0;0;41.9056;12.46406
