INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
'Guest House o Affittacamere' VITTORIANO LUXURY SUITES;Categoria 1;CORSO VITTORIO EMANUELE II, 21;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;3;0;0;0;0;41.89604;12.47822
'Guest House o Affittacamere' my maison 109;Categoria 3;VIA EMANUELE FILIBERTO, 109;Municipio I (ex Mun I);Guest House o Affittacamere;2;4;0;0;0;0;0;0;41.89167;12.50588
'Guest House o Affittacamere' planet 29;Categoria 3;VIA GAETA, 29;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;1;0;0;0;0;0;41.90459;12.50045
'Guest House o affittacamere' al Conservatorio;Categoria 2;VIA DEL CONSERVATORIO, 55;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0;41.89259;12.47267
*Guest house o Affittacamere Aquarium Termini;Categoria 3;PIAZZA MANFREDO FANTI, 10;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;2;0;0;0;0;41.89808;12.50318
00184 DOMUS VALENTINA;Categoria 2;VIA LUDOVICO MURATORI, 15;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0;41.88989;12.50052
100 METRI DAL COLOSSEO;Categoria 2;VIA MARCO AURELIO, 15;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;0;0;41.88831;12.49457
149 GUEST HOUSE;Categoria 2;VIA MARMORATA, 149;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;0;0;0;0;0;0;41.88144;12.47701
184 CAVOUR;Categoria 2;VIA CAVOUR, 184;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.89615;12.49485
1880 ATYPICAL ROOMS;Categoria 2;VIA NAZIONALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;3;0;0;0;0;0;41.8994;12.49134
19 STEPS TREVI GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0;41.90086;12.48182
2 PASSI AL COLOSSEO;Unica;VIA CAVOUR, 325;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89365;12.48888
2000 ROMA INN B&B;Unica;VIA AGOSTINO DEPRETIS, 65;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89942;12.49541
20STEP2 SAN SABA C.A.V.;Categoria 1;PIAZZALE ARDEATINO, 6;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;3;1;0;0;0;0;0;41.87628;12.48681
3 INN RIPETTA;Categoria 2;VIA DI RIPETTA, 35;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;1;0;0;0;0;0;41.9084;12.47608
3 LATI DI PITAGORA;Unica;VIA MILAZZO, 23;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90248;12.50517
34 AL CONTE VERDE;Non Classificata;VIA CONTE VERDE, 34;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;41.8934;12.50668
39 STEPS TREVI;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0;41.90086;12.48182
4 FONTANE BARBERINI - non abilitata;Categoria 3;VIA DELLE QUATTRO FONTANE, 5;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90325;12.48858
5 STAR GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA ENRICO CIALDINI, 13;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;3;0;0;0;0;0;41.89852;12.50325
504 CORSO SUITES ROMA;Categoria 3;VIA DEL CORSO, 504;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;2;1;3;0;0;0;41.90831;12.47728
59 STEPS TREVI SUITE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DEI CROCIFERI, 26/E;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1;41.90071;12.48188
59 steps trevi;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;2;0;0;1;0;0;0;0;41.90086;12.48182
64 SUITE APART 1-2-3-5-7;Categoria 3;VIA DELLA VITE, 64;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;0;41.90402;12.48206
66 IMPERIAL INN;Categoria 1;VIA DEL VIMINALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;2;0;0;0;0;0;41.89985;12.49526
69 MANIN STREET guest house o affittacamere;Categoria 2;VIA DANIELE MANIN, 69;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.89893;12.49906
