12.48-41.83,2,0
12.48-41.99,0,0
12.63-41.90,1,0
12.63-41.87,3,0
12.48-42.00,3,0
12.49-41.98,0,0
12.71-41.93,6,1
12.41-41.90,3,0
12.49-42.01,0,0
12.59-41.94,0,0
12.41-41.98,5,1
12.45-41.81,1,0
12.53-41.94,0,0
12.51-41.90,5,1
12.49-41.93,0,0
12.55-41.97,2,0
12.35-41.74,0,0
12.49-41.79,0,0
12.49-41.94,0,0
12.43-41.88,0,0
12.56-41.94,0,0
12.41-41.88,1,0
12.48-41.77,3,0
12.49-41.84,0,0
12.52-41.98,0,0
12.47-41.84,16,4
12.42-41.90,0,0
12.40-41.90,0,0
12.53-41.89,2,0
12.47-41.81,1,0
12.47-41.79,0,0
12.36-41.78,3,0
12.37-42.01,6,1
12.50-42.00,0,0
12.52-41.88,2,0
12.62-41.85,12,3
12.50-41.86,2,0
12.70-41.88,0,0
12.55-41.92,0,0
12.66-41.91,0,0
12.39-42.00,0,0
12.38-42.02,0,0
12.35-41.77,3,0
12.59-41.90,0,0
12.51-41.96,0,0
12.44-41.85,0,0
12.51-41.95,0,0
12.51-41.97,0,0
12.53-42.02,0,0
12.52-42.01,0,0
12.60-41.89,0,0
12.49-41.92,10,2
12.45-41.82,2,0
12.44-41.91,0,0
12.61-41.84,0,0
12.31-41.75,0,0
12.27-41.75,1,0
12.48-41.95,1,0
12.39-41.95,0,0
12.51-42.03,1,0
12.58-41.95,0,0
12.35-41.76,0,0
12.43-41.89,0,0
12.57-41.83,0,0
12.56-41.84,0,0
12.38-41.93,4,1
12.43-41.79,2,0
12.30-41.76,2,0
12.61-41.86,0,0
12.66-41.86,2,0
12.42-41.84,0,0
12.45-41.99,0,0
12.55-41.95,0,0
12.59-41.88,2,0
12.50-41.93,0,0
12.51-41.94,3,0
12.26-41.74,0,0
12.58-41.85,0,0
12.38-42.03,12,3
12.45-41.90,0,0
12.46-41.93,6,1
12.59-41.92,0,0
12.60-41.84,6,1
12.64-41.86,0,0
12.53-41.91,12,3
12.67-41.89,0,0
12.57-41.92,2,0
12.67-41.90,0,0
12.36-41.76,0,0
12.57-41.94,2,0
12.70-41.89,6,1
12.61-41.97,3,0
12.68-41.88,0,0
13.08-42.42,0,0
12.51-41.98,3,0
12.42-41.88,0,0
12.59-42.04,0,0
12.49-41.81,6,1
12.60-41.81,0,0
12.38-41.91,23,6
12.47-41.78,0,0
12.54-41.85,0,0
12.66-41.90,0,0
12.44-41.88,0,0
12.34-41.77,0,0
12.29-41.74,0,0
12.59-41.87,2,0
12.60-41.92,0,0
12.48-42.01,2,0
12.32-41.77,4,1
12.60-41.94,0,0
12.59-41.95,2,0
12.44-41.84,2,0
12.45-41.86,0,0
12.47-41.97,1,0
12.39-41.86,6,1
12.46-41.97,0,0
12.34-41.81,0,0
12.52-41.92,1,0
12.50-41.97,0,0
12.44-41.89,4,1
12.50-41.94,4,1
12.51-41.84,0,0
12.61-41.89,2,0
12.42-41.91,3,0
12.46-41.88,0,0
12.35-41.88,3,0
12.58-41.90,0,0
12.57-41.78,0,0
12.59-41.93,6,1
12.61-41.94,0,0
12.30-41.73,0,0
12.48-41.79,5,1
12.36-41.84,0,0
12.58-41.86,0,0
12.62-41.83,4,1
12.48-41.78,0,0
12.57-41.82,0,0
12.74-41.90,0,0
12.32-41.80,0,0
12.55-41.80,2,0
12.45-41.97,0,0
12.47-41.82,2,0
12.95-42.39,0,0
12.41-41.84,0,0
12.39-41.90,0,0
12.45-41.84,0,0
12.55-41.84,0,0
12.56-41.76,0,0
12.56-41.82,0,0
12.49-42.00,0,0
12.50-41.83,0,0
12.60-41.87,3,0
12.60-41.86,4,1
12.66-41.89,0,0
12.42-41.81,23,6
12.37-41.74,0,0
12.49-41.97,0,0
12.35-41.78,1,0
12.58-41.93,0,0
12.37-41.79,0,0
12.54-41.97,0,0
12.51-41.82,0,0
12.37-41.94,0,0
9.64-45.40,0,0
12.54-41.80,2,0
12.32-41.82,0,0
12.37-41.77,2,0
12.38-41.74,0,0
12.56-41.96,0,0
12.35-42.06,2,0
12.48-41.84,3,0
12.42-41.85,0,0
12.56-41.85,0,0
12.47-42.03,0,0
12.48-41.80,5,1
12.47-41.70,3,0
12.45-41.72,0,0
12.54-41.78,2,0
12.36-41.73,0,0
12.36-41.74,0,0
12.59-41.83,1,0
12.26-41.86,0,0
12.63-41.93,1,0
12.69-41.86,0,0
12.29-41.75,6,1
12.31-41.73,2,0
12.40-41.99,3,0
12.51-41.80,0,0
12.36-41.86,0,0
12.34-41.73,5,1
12.38-41.89,0,0
12.52-41.80,0,0
12.35-41.91,3,0
12.53-41.76,0,0
12.37-41.92,0,0
12.26-41.75,3,0
12.42-41.86,0,0
12.74-41.91,0,0
12.55-41.87,0,0
12.65-41.91,0,0
12.65-41.88,0,0
12.60-41.95,0,0
12.45-41.94,0,0
12.34-41.74,0,0
12.52-41.97,2,0
12.62-41.90,0,0
12.55-41.90,0,0
12.41-41.86,0,0
12.65-41.84,0,0
12.40-41.93,0,0
12.51-41.86,0,0
12.37-41.99,5,1
12.59-41.73,0,0
12.37-42.00,2,0
12.50-41.74,0,0
12.37-41.95,0,0
12.35-41.79,0,0
12.39-41.79,11,3
12.47-41.80,2,0
12.64-41.89,1,0
12.59-41.98,4,1
12.57-41.95,0,0
12.46-41.83,7,2
12.50-41.80,2,0
12.60-41.72,0,0
12.33-41.93,1,0
12.71-41.91,0,0
12.71-41.90,10,2
12.34-41.79,0,0
12.36-41.75,0,0
12.59-41.77,0,0
12.57-41.76,0,0
12.49-42.02,0,0
12.30-41.83,0,0
12.40-41.86,0,0
12.41-41.97,0,0
12.54-41.84,0,0
12.26-41.91,0,0
12.36-41.88,1,0
12.35-41.82,0,0
12.61-41.83,0,0
12.40-41.95,8,2
12.40-41.96,1,0
12.46-41.96,1,0
12.73-41.91,2,0
12.68-42.16,3,0
12.42-41.80,1,0
12.42-41.89,0,0
12.48-41.74,0,0
12.58-41.77,0,0
12.45-41.95,0,0
12.66-41.92,0,0
12.62-41.88,3,0
12.33-41.78,0,0
12.32-41.73,0,0
12.62-41.91,9,2
12.42-41.99,0,0
12.45-41.78,0,0
12.35-41.93,2,0
12.36-41.93,0,0
12.31-42.00,1,0
12.31-41.98,0,0
12.61-41.81,2,0
12.51-42.01,0,0
12.46-41.81,23,6
