block_ID,administrative_subdivision,Year,Month,accidents,hotels,wifi,lighting_claims
7949,8.0,2019,6,0.0,,,
7949,8.0,2019,7,0.0,,,
7949,8.0,2019,8,0.0,,,
7949,8.0,2019,9,0.0,,,
7949,8.0,2019,10,0.0,0.262829100871581,,
7949,8.0,2019,11,0.0,,,
7949,8.0,2019,12,0.0,,,
7949,8.0,2020,1,0.0,,,4.0625
7949,8.0,2020,2,0.0,,,4.6875
7212,11.0,2019,1,0.0,,,
7212,11.0,2019,2,0.0,,,
7212,11.0,2019,3,0.0,,,
7212,11.0,2019,4,0.0,,,
7212,11.0,2019,12,0.0,,,
7212,11.0,2020,1,0.0,,,
7212,11.0,2020,2,0.0,,,
6803,15.0,2019,1,0.0,,,
6803,15.0,2019,5,0.0,,,
6803,15.0,2019,7,0.0,,,
6803,15.0,2019,8,0.0,,,
6803,15.0,2019,9,0.0,,,
6803,15.0,2019,12,0.0,,,
6803,15.0,2020,1,0.0,,,4.375
6803,15.0,2020,2,0.0,,,0.625
9995,5.0,2019,1,0.0,,,
9995,5.0,2019,2,0.0,,,
9995,5.0,2019,3,0.0,,,
9995,5.0,2019,4,0.0,,,
9995,5.0,2019,5,0.0,,,
9995,5.0,2019,6,0.0,,,
9995,5.0,2019,7,0.0,,,
9995,5.0,2019,8,0.0,,,
9995,5.0,2019,9,0.0,,,
9995,5.0,2019,10,0.0,0.07376074423085607,,
9995,5.0,2019,11,0.0,,,
9995,5.0,2019,12,0.0,,,
9995,5.0,2020,1,0.0,,,7.8125
9995,5.0,2020,2,0.0,,,5.3125
7656,11.0,2019,1,0.0,,,
7656,11.0,2019,3,0.0,,,
7656,11.0,2019,5,0.0,,,
7656,11.0,2019,6,0.0,,,
7656,11.0,2019,9,0.0,,,
7656,11.0,2019,10,0.0,0.2339269317035721,,
7656,11.0,2019,11,0.0,,,
7656,11.0,2019,12,0.0,,,
7656,11.0,2020,1,0.0,,,
12459,7.0,2019,1,0.0,,,
12459,7.0,2019,10,0.0,0.005720220981168429,,
12459,7.0,2019,12,0.0,,,
12167,7.0,2019,1,0.0,,,
12167,7.0,2019,2,0.0,,,
12167,7.0,2019,3,2.0,,,
12167,7.0,2019,4,0.0,,,
12167,7.0,2019,5,0.0,,,
12167,7.0,2019,6,0.0,,,
12167,7.0,2019,7,0.0,,,
12167,7.0,2019,8,0.0,,,
12167,7.0,2019,10,0.0,,,
