Latitude,Longitude,Year,Month,accidents,Index
41.925,12.525,2020,2,0,0.0
41.915,12.515,2019,1,0,0.0
41.915,12.515,2019,2,0,0.0
41.915,12.515,2019,3,0,0.0
41.915,12.515,2019,4,0,0.0
41.915,12.515,2019,5,0,0.0
41.915,12.515,2019,6,0,0.0
41.915,12.515,2019,7,0,0.0
41.915,12.515,2019,8,0,0.0
41.915,12.515,2019,9,0,0.0
41.915,12.515,2019,10,0,0.0
41.915,12.515,2019,11,0,0.0
41.915,12.515,2019,12,0,0.0
41.915,12.515,2020,1,0,0.0
41.915,12.515,2020,2,0,0.0
41.895,12.495,2019,1,3,3.0
41.895,12.495,2019,2,4,4.0
41.895,12.495,2019,3,0,0.0
41.895,12.495,2019,4,1,1.0
41.895,12.495,2019,5,5,5.0
41.895,12.495,2019,6,0,0.0
41.895,12.495,2019,7,0,0.0
41.895,12.495,2019,8,0,0.0
41.895,12.495,2019,9,0,0.0
41.895,12.495,-1,-1,0,0.0
41.895,12.495,2019,10,0,0.0
41.895,12.495,2019,11,0,0.0
41.895,12.495,2019,12,0,0.0
41.895,12.495,2020,1,0,0.0
41.895,12.495,2020,2,0,0.0
41.735,12.265,2019,1,0,0.0
41.735,12.265,2019,2,0,0.0
41.735,12.265,2019,3,0,0.0
41.735,12.265,2019,4,0,0.0
41.735,12.265,2019,5,0,0.0
41.735,12.265,2019,6,0,0.0
41.735,12.265,2019,7,0,0.0
41.735,12.265,2019,8,0,0.0
41.735,12.265,2019,9,0,0.0
41.735,12.265,2019,10,0,0.0
41.735,12.265,2019,11,0,0.0
41.735,12.265,2019,12,0,0.0
41.735,12.265,2020,1,0,0.0
41.735,12.265,2020,2,0,0.0
41.935,12.465,2019,1,0,0.0
41.935,12.465,2019,2,0,0.0
41.935,12.465,2019,3,0,0.0
41.935,12.465,2019,4,0,0.0
41.935,12.465,2019,5,0,0.0
41.935,12.465,2019,6,0,0.0
41.935,12.465,2019,7,0,0.0
41.935,12.465,2019,8,1,1.0
41.935,12.465,2019,9,0,0.0
41.935,12.465,2019,10,0,0.0
41.935,12.465,2019,11,0,0.0
41.935,12.465,2019,12,0,0.0
41.935,12.465,2020,1,0,0.0
41.935,12.465,2020,2,0,0.0
41.935,12.525,2019,1,0,0.0
41.935,12.525,2019,2,3,3.0
41.935,12.525,2019,3,0,0.0
41.935,12.525,2019,4,0,0.0
41.935,12.525,2019,5,0,0.0
41.935,12.525,2019,6,0,0.0
41.935,12.525,2019,7,0,0.0
41.935,12.525,2019,8,0,0.0
41.935,12.525,2019,9,0,0.0
41.935,12.525,-1,-1,0,0.0
41.935,12.525,2019,10,0,0.0
41.935,12.525,2019,11,0,0.0
41.935,12.525,2019,12,0,0.0
41.935,12.525,2020,1,0,0.0
41.935,12.525,2020,2,0,0.0
41.735,12.375,2019,1,0,0.0
41.735,12.375,2019,2,0,0.0
41.735,12.375,2019,5,0,0.0
41.735,12.375,2019,6,0,0.0
41.735,12.375,2019,9,0,0.0
41.735,12.375,2019,10,0,0.0
41.735,12.375,2019,11,0,0.0
41.685,12.375,2019,1,0,0.0
41.685,12.375,2019,2,0,0.0
41.685,12.375,2019,5,0,0.0
41.685,12.375,2019,6,0,0.0
41.685,12.375,2019,7,2,2.0
41.685,12.375,2019,8,0,0.0
41.685,12.375,2019,9,0,0.0
41.685,12.375,2019,10,0,0.0
41.685,12.375,2019,11,0,0.0
41.685,12.375,2019,12,0,0.0
41.685,12.375,2020,1,0,0.0
41.685,12.375,2020,2,0,0.0
41.895,12.445,2019,1,0,0.0
41.895,12.445,2019,2,0,0.0
41.895,12.445,-1,-1,0,0.0
41.895,12.445,2019,3,0,0.0
41.895,12.445,2019,4,0,0.0
41.895,12.445,2019,5,0,0.0
41.895,12.445,2019,6,0,0.0
41.895,12.445,2019,7,0,0.0
41.895,12.445,2019,8,0,0.0
41.895,12.445,2019,9,0,0.0
41.895,12.445,2019,10,0,0.0
41.895,12.445,2019,11,0,0.0
41.895,12.445,2019,12,0,0.0
41.895,12.445,2020,1,0,0.0
41.895,12.445,2020,2,0,0.0
41.825,12.395,2019,1,0,0.0
41.825,12.395,2019,2,0,0.0
41.825,12.395,2019,4,0,0.0
41.825,12.395,2019,5,0,0.0
41.825,12.395,2019,6,0,0.0
41.825,12.395,2019,8,0,0.0
41.825,12.395,2019,9,0,0.0
41.825,12.395,2019,11,0,0.0
41.885,12.475,2019,1,0,0.0
41.885,12.475,2019,2,0,0.0
41.885,12.475,2019,3,0,0.0
41.885,12.475,2019,4,0,0.0
41.885,12.475,2019,5,0,0.0
41.885,12.475,2019,6,0,0.0
41.885,12.475,2019,7,0,0.0
41.885,12.475,2019,8,0,0.0
41.885,12.475,2019,9,0,0.0
41.885,12.475,2019,10,0,0.0
41.885,12.475,2019,11,0,0.0
41.885,12.475,2019,12,0,0.0
41.885,12.475,2020,1,0,0.0
41.885,12.475,2020,2,0,0.0
41.885,12.465,2019,1,0,0.0
41.885,12.465,2019,2,0,0.0
41.885,12.465,2019,3,0,0.0
41.885,12.465,2019,4,0,0.0
41.885,12.465,2019,5,0,0.0
41.885,12.465,2019,6,0,0.0
41.885,12.465,2019,7,0,0.0
41.885,12.465,2019,8,0,0.0
41.885,12.465,2019,9,0,0.0
41.885,12.465,2019,10,0,0.0
41.885,12.465,2019,11,0,0.0
41.885,12.465,-1,-1,0,0.0
41.885,12.465,2019,12,0,0.0
41.885,12.465,2020,1,0,0.0
41.885,12.465,2020,2,0,0.0
41.895,12.475,2019,1,0,0.0
41.895,12.475,2019,2,0,0.0
41.895,12.475,2019,3,0,0.0
41.895,12.475,2019,4,0,0.0
41.895,12.475,2019,5,0,0.0
41.895,12.475,2019,6,0,0.0
41.895,12.475,2019,7,0,0.0
41.895,12.475,2019,8,0,0.0
41.895,12.475,2019,9,0,0.0
41.895,12.475,-1,-1,0,0.0
41.895,12.475,2019,10,0,0.0
41.895,12.475,2019,11,0,0.0
41.895,12.475,2019,12,0,0.0
41.895,12.475,2020,1,0,0.0
41.895,12.475,2020,2,0,0.0
41.915,12.505,2019,1,0,0.0
41.915,12.505,2019,2,0,0.0
41.915,12.505,2019,3,0,0.0
41.915,12.505,2019,4,0,0.0
41.915,12.505,2019,5,0,0.0
41.915,12.505,2019,6,0,0.0
41.915,12.505,2019,7,0,0.0
41.915,12.505,2019,8,0,0.0
41.915,12.505,2019,9,4,4.0
41.915,12.505,2019,10,0,0.0
41.915,12.505,2019,11,0,0.0
41.915,12.505,2019,12,0,0.0
41.915,12.505,2020,1,0,0.0
41.915,12.505,2020,2,0,0.0
41.885,12.405,2019,1,1,1.0
41.885,12.405,2019,2,0,0.0
41.885,12.405,2019,3,0,0.0
41.885,12.405,2019,4,0,0.0
41.885,12.405,2019,5,0,0.0
41.885,12.405,2019,6,0,0.0
41.885,12.405,2019,7,0,0.0
41.885,12.405,2019,8,0,0.0
41.885,12.405,2019,9,0,0.0
41.885,12.405,2019,10,0,0.0
41.885,12.405,2019,11,0,0.0
41.885,12.405,2019,12,0,0.0
41.885,12.405,2020,1,0,0.0
41.945,12.465,2019,1,0,0.0
41.945,12.465,2019,2,0,0.0
41.945,12.465,2019,3,0,0.0
41.945,12.465,2019,4,0,0.0
41.945,12.465,2019,5,0,0.0
41.945,12.465,2019,6,0,0.0
41.945,12.465,2019,7,0,0.0
41.945,12.465,2019,8,0,0.0
41.945,12.465,2019,9,0,0.0
41.945,12.465,2019,10,0,0.0
41.945,12.465,2019,11,0,0.0
41.945,12.465,2019,12,0,0.0
41.945,12.465,2020,1,0,0.0
41.945,12.465,2020,2,0,0.0
41.915,12.375,2019,1,0,0.0
41.915,12.375,2019,2,0,0.0
41.915,12.375,2019,3,0,0.0
41.915,12.375,2019,4,0,0.0
41.915,12.375,2019,5,0,0.0
41.915,12.375,2019,6,1,1.0
41.915,12.375,2019,9,0,0.0
41.915,12.375,2019,10,0,0.0
41.915,12.375,2019,11,0,0.0
41.915,12.375,2019,12,0,0.0
41.915,12.375,2020,2,0,0.0
41.905,12.425,2019,1,0,0.0
