 CAPPELLARI29;Categoria 2;VIA DEI CAPPELLARI, 29;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1
;41.90962;12.47591ABERDEEN;2 Stelle;VIA FIRENZE, 48;Municipio I (ex Mun I);Albergo;10;22;5;0;0;0;0;0
;41.90262;12.49391ABID'S PALACE IN TERMINI Guest House o Affittacamere/Guest House o Affittacamere  ABID'S PALACE IN TERMINI;Categoria 3;VIA NAPOLEONE III, 29;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;2;1;0;0;0;0
;41.8969;12.50161ABITARE TRASTEVERE;Categoria 2;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.89188;12.46938ABITARE TRASTEVERE;Categoria 4;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.89188;12.46938ABOUT ROME;Categoria 2;VIA FRANCESCO CRISPI, 79;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
;41.90515;12.48581ACCADEMIA;3 Stelle;PIAZZA DELL'ACCADEMIA DI S. LUCA, 75;Municipio I (ex Mun I);Albergo;13;34;23;3;1;0;0;0
;41.90178;12.48377ACCOGLIENZA VILLA LANTE DELLE SUORE DEL SACRO CUORE;Unica;VIA DI S. FRANCESCO DI SALES, 18;Municipio I (ex Mun I);Casa per ferie;12;11;2;0;0;0;0;0
;41.89393;12.46272ACCOMODATIONSROME;Unica;VIA PRINCIPE EUGENIO, 60;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0
;41.89387;12.50806ACH - ARCHITECTS HOUSE COLOSSEO;Categoria 3;VIA FRANCESCO GIAMBULLARI, 8;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.88998;12.49996ACQUARIO ROMANO;Unica;PIAZZA MANFREDO FANTI, 38;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89781;12.50194AD HOC DOMUS;Categoria 3;VIA EMANUELE FILIBERTO, 233;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0
;41.889;12.50724AD HOC HOME;Categoria 2;VIA DELLA SCALA, 75;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;0
;41.89054;12.46866ADELINA GUESTHOUSE;Categoria 2;PIAZZA DI PORTA MAGGIORE, 20;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0
;41.89152;12.51388ADORA SUITE 2 guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;2;0;0;0;0;0
;41.89887;12.50154ADORA SUITES guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0
;41.89887;12.50154ADRIANA E FELICE;Categoria 2;VIA CARLO ALBERTO, 13;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.89665;12.50027ADRIANO;3 Stelle;VIA DI PALLACORDA, 2;Municipio I (ex Mun I);Albergo;6;51;9;14;0;0;0;0
;41.9024;12.47573ADRIANUS  HOTEL;2 Stelle;VIA DI TOR MILLINA, 35;Municipio I (ex Mun I);Albergo;0;7;0;0;0;0;0;0
;41.8992;12.47129AELIUS;Categoria 2;VIA VOLTURNO, 7;Municipio I (ex Mun I);Guest House o Affittacamere;1;5;0;0;0;0;0;0
;41.90495;12.49898AENEA INN;Categoria 1;VIA URBANA, 156;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;2;0;0;0;0;0
;41.89791;12.49546AENEA'S B&B;Unica;VIA RATTAZZI, 63;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89813;12.50384AFFITTA CAMERE LES ARTES;Categoria 3;VIA MILAZZO, 23;Municipio I (ex Mun I);Guest House o Affittacamere;3;1;0;0;0;0;0;0
;41.90248;12.50517"AFFITTACAMERE ""LIN MARE""";Categoria 3;VIA CAIROLI, 101;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;2;2;0;0;0;0
;41.89428;12.50787"AFFITTACAMERE ""NAVONA CENTRAL SUITES""";Categoria 2;VIA DELLA SCROFA, 22;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;2;0;0;0;0;0
;41.90216;12.4751"AFFITTACAMERE ""THEWESLEY ROME SRL""";Categoria 2;VIA DEL BANCO DI S. SPIRITO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;1;1;0;2;1;0;0;0
;41.90096;12.4666AFFITTACAMERE A HOME IN ROME DI BAGHERPOUR ABDOLSAID;Categoria 2;VIA CARLO ALBERTO, 53;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.89564;12.50219AFFITTACAMERE CENTRO CAVOUR;Categoria 3;VIA CAVOUR, 233;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;2;0;0;0;0;0
;41.89435;12.49163AFFITTACAMERE DHALI STAR;Categoria 3;VIA GIOBERTI, 54;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.89819;12.50006AFFITTACAMERE FLANN O' BRIEN ROOMS;Categoria 2;VIA NAPOLI, 29/B;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0
