 CAPPELLARI29;Categoria 2;VIA DEI CAPPELLARI, 29;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1
;41.90911;12.45503REALE HOUSE;Categoria 3;VIA GIORGIO SCALIA, 40;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;2;0;0;0;0;0
;41.90648;12.44492REALE HOUSE ROMA;Categoria 3;VIA GIORGIO SCALIA, 40;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.90648;12.44492RED SUITE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA CRESCENZIO, 54;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90587;12.46352REGOLO ROOMS VATICAN GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA ATTILIO REGOLO, 12/D;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;5;0;0;0;0;0;0
;41.90845;12.465RELAIS CALAMATTA;Categoria 2;VIA LUIGI CALAMATTA, 16;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;5;0;0;0;0;0;0
;41.90471;12.47217RELAIS CLIVO VATICANO;Categoria 2;CLIVO DELLE MURA VATICANE, 46;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.90343;12.44661RELAIS COLA DI RIENZO GUEST HOUSE;Categoria 3;PIAZZA COLA DI RIENZO, 69;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;2;0;0;0;0;0
;41.90872;12.46731RELAIS COLONNA;Categoria 3;VIA VITTORIA COLONNA, 27;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0
;41.90523;12.47181RELAIS DEI PAPI;Categoria 3;VIA DEI GRACCHI, 161;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;1;1;0;0;0;0
;41.90836;12.46426RELAIS DELLA TORRE Guest House o Affittacamere;Categoria 1;PIAZZA DELL'UNITA', 9;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90767;12.4616RELAIS INCANTESIMO VATICANO . COM;Categoria 2;VIALE DELLE MILIZIE, 76;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;4;1;0;0;0;0;0
;41.91187;12.46008RELAIS S.PIETRO;3 Stelle;VIALE DELLE MILIZIE, 134;Municipio I (ex Mun XVII);Albergo;1;12;0;0;0;0;0;0
;41.91098;12.45643RELAIS ST.PETER'S DOME;Categoria 2;VIA CANDIA, 50;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;0;0
;41.90833;12.45331RELAIS VATICAN SECRET Guest House o Affittacamere;Categoria 3;VIA PIETRO DELLA VALLE, 1;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0
;41.90542;12.46485RELAIS VATICAN VIEW;Categoria 3;VIA DEL MASCHERINO, 34;Municipio I (ex Mun XVII);Guest House o Affittacamere;4;0;2;0;0;0;0;0
;41.90374;12.45875RESIDENCE VILLA TASSONI;Categoria 3;VIALE DELLE MEDAGLIE D'ORO, 134;Municipio I (ex Mun XVII);Residence;0;0;0;0;0;0;0;0
;41.91384;12.44374RESIDENZA ADRIANA;Categoria 2;PIAZZA ADRIANA, 10/C;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;0;0;0;0;0;0
;41.90516;12.46565RESIDENZA ALEXANDER Guest House o Affittacamere;Categoria 2;VIA COLA DI RIENZO, 163;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0
;41.90792;12.46479RESIDENZA ANGELICO;Categoria 2;VIA RICCARDO GRAZIOLI LANTE, 9;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0
;41.91304;12.45543RESIDENZA BORGO HARMONY;Categoria 3;VIA PLAUTO, 12;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90445;12.46046RESIDENZA CAVALLINI;Categoria 3;VIA PIETRO CAVALLINI, 12;Municipio I (ex Mun XVII);Guest House o Affittacamere;3;3;0;0;0;0;0;0
;41.9055;12.47276RESIDENZA COVOUR;Unica;VIA EZIO, 19;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90919;12.4662RESIDENZA CRESCENZIO;Categoria 2;VIA CRESCENZIO, 103;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90591;12.45954RESIDENZA DEI GRACCHI;Categoria 2;VIA DEI GRACCHI, 84;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90792;12.46178RESIDENZA DELLA CONCILIAZIONE - Guest House o Affittacamere;Categoria 2;VIA POMPONIO LETO, 2;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;0;0;0;0;0;0
;41.9058;12.4601RESIDENZA DORO;Categoria 3;CIRCONVALLAZIONE CLODIA, 94;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.92155;12.45809RESIDENZA IL SOGNO;Categoria 4;VIA SANTAMAURA, 72;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.90901;12.45361RESIDENZA MAZZINI;Unica;PIAZZA GIUSEPPE MAZZINI, 8;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.91559;12.46401RESIDENZA MELLINI 34;Categoria 3;LUNGOTEVERE DEI MELLINI, 34;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0
;41.90738;12.47294RESIDENZA MUSEI VATICANI;Categoria 2;PIAZZA S. MARIA DELLE GRAZIE, 3;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;1;1;0;0;0;0;0
;41.90709;12.4498RESIDENZA ROMA;Categoria 3;VIA MUZIO CLEMENTI, 48;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;1;1;0;0;0;0
;41.90638;12.47203RESIDENZA ROMANA VATICANA;Categoria 2;VIA RIALTO, 56;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;2;0;0;0;0;0
;41.90827;12.44557RESIDENZA SAN PIETRO;Categoria 2;VIA VESPASIANO, 52;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0
;41.90839;12.45671RESIDENZA SCIPIONI;Categoria 2;VIA DEGLI SCIPIONI, 153;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;4;0;0;0;0;0;0
;41.90929;12.46075RESIDENZA SISTINA;Categoria 3;VIA SEBASTIANO VENIERO, 8;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;1;0;0;0;0;0
;41.90789;12.45506RESIDENZA VILLA LAETITIA;Categoria 1;LUNGOTEVERE DELLE ARMI, 22;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;1;0;0;0;0;0
;41.91634;12.46933RESIDENZA VITTORIA Guest House o Affittacamere;Categoria 2;VIA EZIO, 19;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90919;12.4662REST GUESTHOUSE;Categoria 3;VIA SEBASTIANO VENIERO, 8;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0
;41.90789;12.45506RETRO';Categoria 3;VIALE DELLE MEDAGLIE D'ORO, 176;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.9161;12.44283RHH ROME HOLIDAY HOME;Categoria 3;VIA GERMANICO, 96;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.90812;12.459RHOME ACCOMODATION;Categoria 3;VIA ANGELO EMO, 11;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90653;12.44915RIALTO APARTMENT;Categoria 4;VIA RIALTO, 13;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
;41.90756;12.44643RIONE PRATI;Categoria 3;PIAZZA DEI PRATI DEGLI STROZZI, 35;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0
;41.91444;12.45558RISORGIMENTO FLAT;Categoria 3;VIA COLA DI RIENZO, 290;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;4;0;0;0;0;0;0
;41.9065;12.45958RISORGIMENTO HOLIDAY HOUSE;Categoria 4;VIALE DEI BASTIONI DI MICHELANGELO, 5;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.90635;12.45637RITIRO VATICAN;Categoria 3;VIA FAMAGOSTA, 63;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90965;12.4555RIVER LUXURY SUITES Guest House o Affittacamere;Categoria 3;VIA PIETRO COSSA, 13;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.90681;12.47258ROGER VATICAN DREAM;Categoria 3;VIA FRANCESCO SIVORI, 14;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;0;0;0;0;0;0
;41.90561;12.44693ROMA BORGO 91;Unica;BORGO VITTORIO, 91;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90431;12.4602ROMA CAPITAL HOUSE;Categoria 2;VIA GIACOMO BARZELLOTTI, 15;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.91135;12.44627ROMA CAPOCCIA IN VATICANO;Unica;VIA TRIONFALE, 32;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.91155;12.45368ROMA LUXURY VATICAN HOUSE;Categoria 2;VIA DEI GRACCHI, 169;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0
;41.90841;12.46449ROMA MY HOME B&B;Unica;VIA CRESCENZIO, 107;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
;41.90594;12.45912ROMA OTTAVIANO B&B;Unica;VIALE DELLE MILIZIE, 108;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.91135;12.45787ROMA PAPALINA;Categoria 2;VIA S. TOMMASO D'AQUINO, 32;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.91121;12.44827ROMA PRATI;Unica;LUNGOTEVERE PRATI, 22;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
;41.90492;12.47318ROMA VACANZE;Categoria 2;VIA PROPERZIO, 6;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.90642;12.46119ROMA X2;Categoria 1;VIA GUALTIERO SERAFINO, 13;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;2
;41.91047;12.44536ROMAN FLAT;Categoria 2;VIA DEGLI SCIPIONI, 147;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1
;41.90913;12.46012ROMAN HOLIDAYS;Categoria 3;VIA BU MELIANA, 12;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;3;0;0;0;0;0;0
;41.91117;12.45433ROMAN HOLIDAYS ROOMS OTRANTO;Categoria 3;VIA OTRANTO, 39;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;2;0;0;0;0;0;0
;41.9103;12.457ROMAN ROYAL ROOMS MILITES;Categoria 2;VIALE DELLE MILIZIE, 140;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;2
;41.91077;12.45562ROMAN SUITE;Unica;VIA VESPASIANO, 48;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
;41.90796;12.45668ROMANTIC PINK;Categoria 3;VIA VALADIER, 48;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90775;12.46754ROMANTIC VATICAN ROOMS GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIALE DEI BASTIONI DI MICHELANGELO, 5/A;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;1;0;1;0;0;0;0
;41.90636;12.45631ROMANTICAROMA;Unica;VIA CANDIA, 101;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
;41.90786;12.45219ROMATIC;Categoria 3;VIALE ANGELICO, 36;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.91615;12.45869ROME ARMONY SUITES - GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA ORAZIO, 3;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;1;0;0;0;0;0
;41.90792;12.4661ROME BOUTIQUE APARTMENTS 7B;Categoria 1;VIA GERMANICO, 172;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;0
;41.90884;12.46191ROME CENTER ROOMS;Categoria 3;VIA PREMUDA, 3;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;3;0;0;0;0;0;0
;41.91382;12.45227ROME INN;Categoria 2;VIA GIORGIO SCALIA, 4;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;1;0;0;0;0;0
;41.90815;12.44659ROME ROOMS;Categoria 3;VIA FABIO MASSIMO, 57;Municipio I (ex Mun XVII);Guest House o Affittacamere;3;0;0;0;0;0;0;0
;41.90865;12.46219ROME SERVICES - BORGO - SUITES - GUEST HOUSE O AFFITTACAMERE;Categoria 2;BORGO VITTORIO, 85;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.90434;12.45972ROME SERVICES CARACCIOLO - GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA FRANCESCO CARACCIOLO, 30;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.90872;12.4522ROME VATICAN FLAT;Categoria 2;PIAZZA DEL RISORGIMENTO, 14;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90666;12.45712ROME VATICAN INN;Categoria 3;VIA DELLE FOSSE DI CASTELLO, 6;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.90413;12.46351ROME VATICAN SUITE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA CAIO MARIO, 12;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90884;12.46076ROME'S  HEART guest house o affittacamere;Categoria 3;VIA DEGLI SCIPIONI, 35;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.90825;12.45646ROMESWEETHOME;Categoria 2;VIA GIULIO VENTICINQUE, 50;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90795;12.44709ROMOLO HOUSE;Categoria 1;VIA CIPRO, 98;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90594;12.44525ROOM 4 ROME;Categoria 3;PIAZZA DEL RISORGIMENTO, 36;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;1;0;0;0;0
;41.90656;12.45836ROOM IN ROME CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA CANDIA, 100;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);3;0;0;0;0;0;0;0
;41.90783;12.4513ROOM INN ROME;Categoria 3;VIALE GIULIO CESARE, 183;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;3;0;0;0;0;0;0
;41.90903;12.45729ROOMINNVATICAN;Categoria 3;VIA OTTAVIANO, 9;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.90677;12.45772ROOMROMA;Categoria 2;VIALE GIULIO CESARE, 2;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;4;0;0;0;0;0;0
;41.9125;12.46989ROSA GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA PREMUDA, 1/C;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;0;0;0;0;0;0
;41.91371;12.45181ROSE APARTMENT PIAZZA DEL POPOLO;Categoria 2;VIA COLA DI RIENZO, 44;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90891;12.46947ROVATI GUEST HOUSE  'Guest House o Affittacamere';Categoria 2;VIA DUILIO, 13;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.91037;12.46394ROYAL SUITE DU VATICAN;Categoria 3;VIA GERMANICO, 24;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90745;12.45626RUBINO HOUSE;Non Classificata;VIA DEI GRACCHI, 15;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0
;41.90689;12.45854Residenza Palline Guest House o Affittacamere;Categoria 2;VICOLO DELLE PALLINE, 5;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.90334;12.46026Residenza le Gemelle di Roma - GUEST HOUSE O AFFITTACAMERE;Categoria 2;PIAZZA DELL'UNITA', 13;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;0;0;0;0;0
;41.90783;12.46143Rifugio degli Artisti Top Bed & Breakfast;Unica;VIA PIETRO DELLA VALLE, 9;Municipio I (ex Mun XVII);Bed & Breakfast imprenditoriale;0;4;0;0;0;0;0;0
;41.90512;12.46481Roma Guest House o Affittacamere;Categoria 3;VIA EMILIO FAA' DI BRUNO, 15;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;0;0;0;0;0;0
;41.91416;12.45733Roman Suite Guest House o affittacamere di Emma Joanna Tozzi;Categoria 3;VIA VESPASIANO, 48;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.90796;12.45668Romantica Guest House o Affittacamere;Categoria 2;VIA CRESCENZIO, 43;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;2;0;1;0;0;0;0
;41.9056;12.46406Romantica Rooms Guest House o affittacamere;Categoria 2;VIA DEGLI SCIPIONI, 113;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;5;0;0;0;0;0;0
;41.90884;12.45892Rome Together  Guest House o Affittacamere;Categoria 3;VIA LEONE IV, 38;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;2;1;1;0;0;0;0
;41.90911;12.45503Rosso Charming Apartment Vaticano - Casa e appartamento per vacanze;Categoria 2;VIA CANDIA, 50;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0
;41.90833;12.45331Royal Vatican Relais;Categoria 2;VIA CARLO PASSAGLIA, 11;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;1;0;0;0;0;0;0
;41.91076;12.44863SA & SI APARTMENTS 1/ SA & SI APARTMENTS 2/ SA & SI APARTMENTS 3;Categoria 2;VIA BOEZIO, 6;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;3;0
;41.9069;12.46682SAINT PETER HOLIDAY;Categoria 4;VIA CANDIA, 143;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.90742;12.45034SAINT PETER INN;Categoria 3;VIA SEBASTIANO VENIERO, 8;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;0;1;0;0;0;0
;41.90789;12.45506SAINT PETER LUXURY DOMUS;Categoria 3;VIA ANASTASIO II, 80;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.89707;12.4409SAINT PETER STATION APARTMENT BARZELLOTTI;Categoria 1;VIA GIACOMO BARZELLOTTI, 3;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0
;41.91094;12.44709SAINT PETER'S KEYS;Unica;PIAZZA COLA DI RIENZO, 92;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90827;12.46735SAINT PETER'S ROOF SRLS;Categoria 2;VIA TOLEMAIDE, 28;Municipio I (ex Mun XVII);Guest House o Affittacamere;3;0;0;0;0;0;0;0
;41.90914;12.45415SAINT VALENTINE;Unica;VIA OTTAVIANO, 42;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;1;0;0;0;0;0;0;0
;41.9075;12.45799SALVADOR;Unica;VIA VITTORIO ARMINJON, 5;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
;41.91135;12.45539SALVADOR DUE;Categoria 4;VIA DELLA GIULIANA, 6;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0
;41.91096;12.45494SAN FILIPPO NERI;Unica;VIA MONTE PERTICA, 23;Municipio I (ex Mun XVII);Casa per ferie;6;9;0;0;0;0;0;0
;41.92007;12.45962SAN GIOVANNI BATTISTA;Unica;VIALE GIULIO CESARE, 108;Municipio I (ex Mun XVII);Casa per ferie;24;0;0;0;0;0;0;0
;41.90911;12.45616SAN PETER AND PAUL'S HOUSE;Categoria 4;VIA CATONE, 6;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);2;2;0;0;0;0;0;0
;41.90668;12.4589SAN PIETRO BOUTIQUE ROOMS;Categoria 3;VIA PROPERZIO, 32;Municipio I (ex Mun XVII);Guest House o Affittacamere;1;5;0;0;0;0;0;0
;41.90527;12.46105SAN PIETRO CANDIA 25;Unica;VIA CANDIA, 25;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90845;12.45458SAN PIETRO CLASSIC;Categoria 2;VIA DEI GRACCHI, 91;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0
;41.90788;12.46225SAN PIETRO ORANGE;Categoria 2;PIAZZA AMERICO CAPPONI, 3;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90476;12.461SAN PIETRO RESORT;Categoria 3;VIA TOMMASO CAMPANELLA, 41;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;3;1;0;0;0;0;0
;41.91012;12.45014SAN PIETRO ROOMS GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIALE GIULIO CESARE, 62;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;4;0;0;0;0;0;0
;41.90946;12.4576SAN PIETRO SWEET HOUSE;Unica;VIA OSTIA, 16;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90934;12.45387SAN PIETRO'S HOME;Categoria 2;VIA OTTAVIANO, 105;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0
;41.90901;12.45784SAN VALENTINO;3 Stelle;VIA EZIO, 55;Municipio I (ex Mun XVII);Albergo;15;23;0;0;0;0;0;0
;41.9106;12.46543SANPETER BORGO;Categoria 2;PIAZZA AMERICO CAPPONI, 9;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0
;41.90485;12.46061SANT'AGOSTINO B&B;Unica;VIA DEGLI SCIPIONI, 237;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.91034;12.46499SANT'ANGELO;3 Stelle;VIA MARIANNA DIONIGI, 16;Municipio I (ex Mun XVII);Albergo;14;15;2;0;0;0;0;0
;41.90569;12.47248SANT'ANNA;3 Stelle;BORGO PIO, 134;Municipio I (ex Mun XVII);Albergo;4;15;1;0;0;0;0;0
;41.90391;12.45931SANTA MAURA HOUSE / LEUTO HOUSE / CASA DEL FALCO/ARGENTINA TOWER;Categoria 3;VIA SANTAMAURA, 15;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;4;0
;41.90791;12.45391SANTA MONICA guest house o affittacamere;Categoria 3;VIALE DELLE MILIZIE, 34;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.91252;12.46271SANTAMAURA APARTMENTS;Categoria 2;VIA SANTAMAURA, 90;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;2;0;0;0;0;0;0
;41.90975;12.45327SANTAMAURA SETTANTADUE;Categoria 2;VIA SANTAMAURA, 72;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);1;0;0;0;0;0;0;0
;41.90901;12.45361SARA HOUSE;Categoria 2;VIA LUIGI RIZZO, 36;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90835;12.44518SARA'S HOUSE;Non Classificata;VIA LEONE IV, 109;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0
;41.90946;12.4553SCIPIONE BED AND BREAKFAST;Unica;VIA DEGLI SCIPIONI, 22;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90801;12.45615SCIPIONI MAISON;Categoria 3;VIA DEGLI SCIPIONI, 191;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.91;12.46359SCIPIONI SUITES;Unica;VIA DEGLI SCIPIONI, 121;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;1;1;1;0;0;0;0;0
;41.90888;12.45909SCIPIONI VATICAN APARTMENTS;Categoria 2;VIA DEGLI SCIPIONI, 135;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);1;1;1;0;0;0;0;0
;41.90902;12.45963SECRETROME ;Unica;VIA CANDIA, 25;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90845;12.45458SEVEN GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA PAOLO EMILIO, 7;Municipio I (ex Mun XVII);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.90789;12.46376SHABBY HOME;Categoria 1;VIA S. TOMMASO D'AQUINO, 32;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;4
;41.91121;12.44827SI & SA Roooms;Categoria 3;VIA BOEZIO, 6;Municipio I (ex Mun XVII);Guest House o Affittacamere;2;1;0;0;0;0;0;0
;41.9069;12.46682SILLA;2 Stelle;VIA SILLA, 3;Municipio I (ex Mun XVII);Albergo;8;7;1;0;0;0;0;0
;41.90932;12.45916SILVIO PELLICO CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA SILVIO PELLICO, 2;Municipio I (ex Mun XVII);Casa Vacanze impr (Appartamento);2;0;0;0;0;0;0;0
;41.66927;12.50307SIMON CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA ANDREA DORIA, 79;Municipio I (ex Mun XVII);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
;41.90895;12.44973SIMONETTA AI MUSEI VATICANI B&B;Unica;VIA GIORGIO SCALIA, 10;Municipio I (ex Mun XVII);Bed & Breakfast non imprenditoriale;1;2;0;0;0;0;0;0
