block_ID,administrative_subdivision,Year,Month,accidents
9995,5.0,2019,5,0.0
9995,5.0,2019,6,0.0
9995,5.0,2019,7,0.0
9995,5.0,2019,8,0.0
9995,5.0,2019,9,0.0
9995,5.0,2019,10,0.0
9995,5.0,2019,11,0.0
9995,5.0,2019,12,0.0
9995,5.0,2020,1,0.0
9995,5.0,2020,2,0.0
7656,11.0,2019,1,0.0
7656,11.0,2019,3,0.0
7656,11.0,2019,5,0.0
7656,11.0,2019,6,0.0
7656,11.0,2019,9,0.0
7656,11.0,2019,10,0.0
7656,11.0,2019,11,0.0
7656,11.0,2019,12,0.0
7656,11.0,2020,1,0.0
12459,7.0,2019,1,0.0
12459,7.0,2019,10,0.0
12459,7.0,2019,12,0.0
12167,7.0,2019,1,0.0
12167,7.0,2019,2,0.0
12167,7.0,2019,3,2.0
12167,7.0,2019,4,0.0
12167,7.0,2019,5,0.0
12167,7.0,2019,6,0.0
12167,7.0,2019,7,0.0
12167,7.0,2019,8,0.0
12167,7.0,2019,10,0.0
12167,7.0,2019,11,0.0
12167,7.0,2019,12,0.0
12167,7.0,2020,1,0.0
12167,7.0,2020,2,0.0
7803,1.0,2019,1,0.0
7803,1.0,2019,2,0.0
7803,1.0,2019,3,0.0
7803,1.0,2019,5,0.0
7803,1.0,2019,7,0.0
9728,3.0,2019,1,0.0
9728,3.0,2019,3,0.0
9728,3.0,2019,11,0.0
11019,5.0,2019,1,0.0
11019,5.0,2019,2,0.0
11019,5.0,2019,3,0.0
11019,5.0,2019,4,0.0
11019,5.0,2019,5,3.0
11019,5.0,2019,6,0.0
11019,5.0,2019,7,0.0
11019,5.0,2019,8,0.0
11019,5.0,2019,9,0.0
11019,5.0,2019,10,0.0
11019,5.0,2019,11,0.0
11019,5.0,2019,12,0.0
11019,5.0,2020,1,2.0
11019,5.0,2020,2,0.0
5770,14.0,2019,1,0.0
5770,14.0,2019,2,0.0
5770,14.0,2019,3,0.0
5770,14.0,2019,4,0.0
5770,14.0,2019,6,0.0
5770,14.0,2019,7,0.0
5770,14.0,2019,8,0.0
5770,14.0,2019,11,0.0
5770,14.0,2019,12,0.0
5770,14.0,2020,1,0.0
5770,14.0,2020,2,0.0
12767,6.0,2019,1,6.0
12767,6.0,2019,2,0.0
12767,6.0,2019,3,0.0
12767,6.0,2019,4,0.0
12767,6.0,2019,5,0.0
12767,6.0,2019,6,0.0
